"Back-end Developer | .Net","Middle","5 - 7 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Software Architect","Middle","3 - 5 Yıl","Kurumsal","Ankara","4.000 TL - 5.000 TL"
"Back-end Developer | Php","Middle","3 - 5 Yıl","Dijital / Reklam Ajansı","İstanbul","2.000 TL - 3.000 TL"
"Software Architect","Senior","10+","Kurumsal","İstanbul","12.500 TL - 15.000 TL"
"Software Architect","Junior","3 - 5 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Junior","1 - 3 Yıl","Kurumsal","İstanbul","2.000 TL - 3.000 TL"
"Front-end Developer","Middle","0 - 1 Yıl","Hosting","Kocaeli","2.000 TL - 3.000 TL"
"Full Stack Developer","Junior","0 - 1 Yıl","Startup","İstanbul","2.000 TL ve aşağısı"
"Full Stack Developer","Middle","3 - 5 Yıl","Dijital / Reklam Ajansı","İstanbul","3.000 TL - 4.000 TL"
"Software Development Team Lead","Senior","10+","Startup","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | Java","Middle","7 - 10 Yıl","Kurumsal","Antalya","5.000 TL - 7.500 TL"
"Software Architect","Senior","10+","Kurumsal","Konya","7.500 TL - 10.000 TL"
"Front-end Developer","Middle","3 - 5 Yıl","Startup","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | .Net","Middle","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Full Stack Developer","Junior","0 - 1 Yıl","Outsource","İzmir","2.000 TL - 3.000 TL"
"Business Analyst","Senior","7 - 10 Yıl","Danışmanlık","İstanbul","5.000 TL - 7.500 TL"
"System Engineer","Senior","7 - 10 Yıl","Startup","Ankara","15.000 TL ve üzeri"
"Back-end Developer | Java","Middle","5 - 7 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Mobile Developer | Android","Middle","1 - 3 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Mobile Developer | Android","Middle","1 - 3 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Junior","1 - 3 Yıl","Startup","İstanbul","2.000 TL - 3.000 TL"
"Software Architect","Middle","5 - 7 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Mobile Developer | Android","Junior","0 - 1 Yıl","Startup","İstanbul","2.000 TL ve aşağısı"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","Ankara","4.000 TL - 5.000 TL"
"Full Stack Developer","Junior","1 - 3 Yıl","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Senior","10+","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Software Architect","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Mobile Developer | iOS","Middle","1 - 3 Yıl","E-Ticaret","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Senior","10+","Startup","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","E-Ticaret","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","5 - 7 Yıl","Kurumsal","Konya","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Junior","0 - 1 Yıl","Danışmanlık","İstanbul","2.000 TL - 3.000 TL"
"Back-end Developer | Java","Senior","7 - 10 Yıl","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Full Stack Developer","Junior","1 - 3 Yıl","Kurumsal","Ankara","2.000 TL - 3.000 TL"
"Back-end Developer | .Net","Junior","0 - 1 Yıl","Startup","İstanbul","2.000 TL - 3.000 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Full Stack Developer","Senior","3 - 5 Yıl","Startup","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","7 - 10 Yıl","E-Ticaret","İstanbul","7.500 TL - 10.000 TL"
"Full Stack Developer","Junior","1 - 3 Yıl","Kurumsal","Konya","4.000 TL - 5.000 TL"
"Back-end Developer | Php","Senior","10+","Kurumsal","Sakarya","2.000 TL - 3.000 TL"
"SAP & ABAP Developer","Middle","5 - 7 Yıl","Outsource","Ankara","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","E-Ticaret","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","E-Ticaret","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | Php","Senior","10+","Outsource","Ankara","15.000 TL ve üzeri"
"Back-end Developer | .Net","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Software Architect","Senior","7 - 10 Yıl","Kurumsal","İstanbul","12.500 TL - 15.000 TL"
"Software Architect","Senior","10+","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | .Net","Middle","7 - 10 Yıl","E-Ticaret","İstanbul","3.000 TL - 4.000 TL"
"SAP & ABAP Developer","Middle","3 - 5 Yıl","Outsource","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Senior","7 - 10 Yıl","Kurumsal","Ankara","7.500 TL - 10.000 TL"
"Back-end Developer | Java","Junior","0 - 1 Yıl","Kurumsal","İstanbul","2.000 TL ve aşağısı"
"Full Stack Developer","Middle","3 - 5 Yıl","Startup","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | Java","Senior","3 - 5 Yıl","Outsource","İstanbul","5.000 TL - 7.500 TL"
"PM","Senior","10+","E-Ticaret","İstanbul","5.000 TL - 7.500 TL"
